business_name,business_distance(KM),business_lat,business_lon
Sang Wot Restaurant,1.19,3.1229794,101.6760822
Swisscorp Industries (M) Sdn Bhd,0.15,3.1315394,101.6710776
Southern Rock Seafood Sdn Bhd,1.12,3.1297905,101.6797158
Chazzer Sdn Bhd ,1.06,3.1280655,101.6786614
Evarich Sdn Bhd,0.08,3.132062,101.670366
TPL Fresh Meats Sdn Bhd - (Bangsar),1.15,3.128871,101.679793
Backofen Sdn Bhd,0.13,3.130673,101.670414
Trident Ace Sdn Bhd,1.32,3.143238,101.667367
Good Food Trio Company Sdn Bhd,0.24,3.129671,101.670756
Suryan Universal Sdn Bhd,0.16,3.1322426,101.6710625
Apex-Pal Malaysia Sdn Bhd,0.24,3.130285,101.671423
Everville Sdn Bhd,0.24,3.129816,101.670867
Anjappar Restaurants Sdn Bhd,0.29,3.1322323,101.6723258
